id,x,y
82,0.733459473,0.698623177
83,0.258361816,0.285728802
84,0.895080566,0.651983946
85,0.190002441,0.779098715
86,0.557189941,0.034242748
87,0.420471191,0.400497892
88,0.860900879,0.979373063
89,0.021057129,0.119290759
90,0.628479004,0.48417416
91,0.339416504,0.739318193
92,0.952697754,0.315449881
93,0.172180176,0.564649698
94,0.597961426,0.819793731
95,0.496398926,0.065335569
96,0.775695801,0.431590713
97,0.076477051,0.89112432
98,0.704406738,0.158614032
99,0.286437988,0.549560534
100,0.934875488,0.753340446
101,0.229797363,0.226591475
102,0.514953613,0.595590103
103,0.391418457,0.887771173
104,0.817199707,0.09353249
105,0.059387207,0.343189554
106,0.666809082,0.931666921
107,0.366027832,0.211045064
108,0.97052002,0.466189097
109,0.13067627,0.670578672
110,0.59161377,0.271401717
111,0.449035645,0.662348219
112,0.804504395,0.79266372
113,0.093933105,0.00665549
114,0.742370605,0.371081644
115,0.277526855,0.996596047
116,0.88494873,0.12828329
117,0.20916748,0.497281918
118,0.532409668,0.711273688
119,0.430847168,0.32307067
120,0.856628418,0.578214703
121,0.010925293,0.833358736
122,0.647644043,0.045318295
123,0.313171387,0.436264797
124,0.961608887,0.904028857
125,0.168640137,0.171518569
126,0.611999512,0.519941066
127,0.475280762,0.775085099
128,0.751647949,0.240105675
129,0.087585449,0.605903572
130,0.700866699,0.856932378
131,0.300476074,0.102474216
132,0.913757324,0.357618249
133,0.249694824,0.946095616
134,0.523864746,0.19575268
135,0.387145996,0.475588071
136,0.830505371,0.679520398
137,0.037536621,0.280343444
138,0.685974121,0.632881166
139,0.352966309,0.813951125
140,0.989685059,0.019712442
141,0.143981934,0.384595844
142,0.569763184,0.968957984
143,0.468200684,0.136158106
144,0.789978027,0.514758929
145,0.114196777,0.720520246
146,0.721618652,0.30762587
147,0.256774902,0.587461261
148,0.905212402,0.841233552
149,0.19720459,0.059340548
150,0.55267334,0.408677539
151,0.410095215,0.923080831
152,0.871032715,0.178224864
153,0.031188965,0.534877813
154,0.632843018,0.748869583
155,0.332061768,0.249555454
156,0.939483643,0.628156277
157,0.181671143,0.870954631
158,0.607452393,0.083117411
159,0.48538208,0.362952802
160,0.77053833,0.954173652
161,0.065460205,0.209317685
162,0.713897705,0.446629071
163,0.295928955,0.701773104
164,0.922393799,0.29025047
165,0.223175049,0.64217853
166,0.502471924,0.782096225
167,0.400909424,0.027638063
168,0.826690674,0.406238886
169,0.048370361,0.982370574
170,0.661651611,0.120916527
171,0.372589111,0.487171671
172,0.980010986,0.729512778
173,0.140167236,0.317990144
174,0.578399658,0.559416756
175,0.441680908,0.826906468
176,0.808868408,0.069704821
177,0.103790283,0.422242544
178,0.740509033,0.895493573
179,0.266876221,0.148808617
180,0.880157471,0.552100798
181,0.216094971,0.757862115
182,0.542266846,0.233856628
183,0.428985596,0.600111772
184,0.844512939,0.87857542
185,0.004669189,0.096682416
186,0.653106689,0.333367204
187,0.323028564,0.934190249
188,0.959747314,0.21402564
189,0.157989502,0.459567478
190,0.618927002,0.673559247
191,0.482208252,0.260664872
192,0.761505127,0.663957053
193,0.085723877,0.795644295
194,0.687652588,0.009178818
195,0.304840088,0.375433962
196,0.918121338,0.99134617
197,0.236480713,0.135379092
198,0.521636963,0.501634236
199,0.37612915,0.714254263
200,0.83706665,0.327422988
